GCA_001001205.1	117551/1862/2
GCA_001001285.1	117551/1880/2
GCA_001001345.1	117551/1897/2
GCA_001001375.1	117551/1915/2
GCA_001001485.1	117551/1933/2
GCA_001001555.1	117551/1951/2
GCA_001001625.1	117551/1683/2
GCA_001001705.1	117551/1969/2
GCA_001001795.1	117551/1975/2
GCA_001001925.1	117551/1986/2
GCA_001002135.1	117551/1992/2
GCA_001002285.1	117551/2004/2
GCA_001002325.1	117551/2010/2
GCA_001002405.1	117551/2022/2
GCA_001002415.1	117551/2028/2
GCA_001002765.1	117551/2040/2
GCA_001003205.1	117551/2046/2
GCA_001003385.1	117551/2058/2
GCA_001003475.1	117551/2064/2
GCA_001003605.1	117551/2074/2
GCA_001003705.1	117551/2080/2
GCA_001003725.1	117551/2093/2
GCA_001003855.1	117551/2098/2
GCA_001004005.1	117551/2111/2
GCA_001004085.1	117551/2115/2
GCA_001004105.1	117551/2129/2
GCA_001004265.1	117551/2133/2
GCA_001004345.1	117551/2143/2
GCA_001004665.1	117551/2148/2
GCA_001004885.1	117551/2158/2
GCA_001004905.1	117551/2163/2
GCA_001005265.1	117551/2175/2
GCA_001007665.1	117551/2180/2
GCA_001007975.1	117551/2192/2
GCA_001017435.1	117550/3644/2
